,exchg,code,price,open,high,low,settle_price,upper_limit,lower_limit,total_volume,volume,total_turnover,turn_over,open_interest,diff_interest,trading_date,action_date,action_time,pre_close,pre_settle,pre_interest,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_qty_0,bid_qty_1,bid_qty_2,bid_qty_3,bid_qty_4,bid_qty_5,bid_qty_6,bid_qty_7,bid_qty_8,bid_qty_9,ask_qty_0,ask_qty_1,ask_qty_2,ask_qty_3,ask_qty_4,ask_qty_5,ask_qty_6,ask_qty_7,ask_qty_8,ask_qty_9,time
20210104092900400,b'CFFEX',b'IF2101',5230.0,5230.0,5230.0,5230.0,0.0,5737.8,4694.6,240.0,240.0,376560000.0,376560000.0,90767.0,-59.0,20210104,20210104,92900400,5227.0,5216.2,90826.0,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104092900400
20210104093000400,b'CFFEX',b'IF2101',5230.8,5230.0,5232.8,5229.2,0.0,5737.8,4694.6,311.0,71.0,487976040.0,111416040.0,90751.0,-16.0,20210104,20210104,93000400,5227.0,5216.2,90826.0,5231.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5231.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093000400
20210104093000900,b'CFFEX',b'IF2101',5231.8,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,398.0,87.0,624532140.0,136556100.0,90691.0,-60.0,20210104,20210104,93000900,5227.0,5216.2,90826.0,5232.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093000900
20210104093001400,b'CFFEX',b'IF2101',5234.0,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,511.0,113.0,801935880.0,177403740.0,90664.0,-27.0,20210104,20210104,93001400,5227.0,5216.2,90826.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093001400
20210104093001900,b'CFFEX',b'IF2101',5233.0,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,549.0,38.0,861593340.0,59657460.0,90637.0,-27.0,20210104,20210104,93001900,5227.0,5216.2,90826.0,5231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093001900
20210104093002400,b'CFFEX',b'IF2101',5233.0,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,605.0,56.0,949500060.0,87906720.0,90607.0,-30.0,20210104,20210104,93002400,5227.0,5216.2,90826.0,5231.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093002400
20210104093002900,b'CFFEX',b'IF2101',5233.0,5230.0,5234.8,5229.2,0.0,con5737.8,4694.6,652.0,47.0,1023274320.0,73774260.0,90585.0,-22.0,20210104,20210104,93002900,5227.0,5216.2,90826.0,5231.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093002900
20210104093003400,b'CFFEX',b'IF2101',5231.0,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,685.0,33.0,1075073100.0,51798780.0,90565.0,-20.0,20210104,20210104,93003400,5227.0,5216.2,90826.0,5231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093003400
20210104093003900,b'CFFEX',b'IF2101',5232.6,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,718.0,33.0,1126872180.0,51799080.0,90547.0,-18.0,20210104,20210104,93003900,5227.0,5216.2,90826.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093003900
20210104093004400,b'CFFEX',b'IF2101',5233.0,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,756.0,38.0,1186516680.0,59644500.0,90528.0,-19.0,20210104,20210104,93004400,5227.0,5216.2,90826.0,5230.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5231.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093004400
20210104093004900,b'CFFEX',b'IF2101',5232.8,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,806.0,50.0,1264990980.0,78474300.0,90490.0,-38.0,20210104,20210104,93004900,5227.0,5216.2,90826.0,5231.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093004900
20210104093005400,b'CFFEX',b'IF2101',5230.8,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,854.0,48.0,1340324580.0,75333600.0,90457.0,-33.0,20210104,20210104,93005400,5227.0,5216.2,90826.0,5230.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5231.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093005400
20210104093005900,b'CFFEX',b'IF2101',5230.6,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,880.0,26.0,1381124400.0,40799820.0,90439.0,-18.0,20210104,20210104,93005900,5227.0,5216.2,90826.0,5230.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093005900
20210104093006400,b'CFFEX',b'IF2101',5232.2,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,923.0,43.0,1448600700.0,67476300.0,90422.0,-17.0,20210104,20210104,93006400,5227.0,5216.2,90826.0,5230.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5232.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093006400
20210104093006900,b'CFFEX',b'IF2101',5232.2,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,950.0,27.0,1490974620.0,42373920.0,90424.0,2.0,20210104,20210104,93006900,5227.0,5216.2,90826.0,5230.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5232.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093006900
20210104093007400,b'CFFEX',b'IF2101',5230.6,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,965.0,15.0,1514513460.0,23538840.0,90414.0,-10.0,20210104,20210104,93007400,5227.0,5216.2,90826.0,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093007400
20210104093007900,b'CFFEX',b'IF2101',5230.4,5230.0,5234.8,5229.2,0.0,5737.8,4694.6,973.0,8.0,1527066780.0,12553320.0,90411.0,-3.0,20210104,20210104,93007900,5227.0,5216.2,90826.0,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104093007900
